Title,Region,Url,Min_price
"Продажа парковочных мест в паркинге, расположенном по адресу г. Санкт-Петербург, Варшавская ул., д. 9, корп.1, лит.А, пом. 17-Н",Ленинградская область,auction/10336-prodazha-parkovochnykh-mest-v-parkinge-raspolozhennom-po-adresu-g-sankt-peterburg-varshavskaja-ul/,"<dl><dt class=""date deadline"">Дата окончания приема заявок</dt><dd class=""date deadline"">16 января 2023 15:00</dd><dt class=""date deadline"">Дата проведения процедуры продажи</dt><dd class=""date deadline"">18 января 2023 11:00</dd><dl><dt>Минимальная цена лота</dt><dd>1 522 350 руб. 00 коп.</dd><dd class=""more"">(всего лотов — 2)</dd></dl></dl>"
"Продажа объектов транспортной инфраструктуры, расположенных по адресу: Ямало-Ненецкий автономный округ, город Новый Уренгой, район Коротчаево",Ямало-Ненецкий автономный округ,auction/10337-prodazha-obektov-transportnoi-infrastruktury-raspolozhennykh-po-adresu-jamalo-neneckii-avtonomn/,"<dl><dt class=""date deadline"">Дата окончания приема заявок</dt><dd class=""date deadline"">16 января 2023 18:00</dd><dt class=""date deadline"">Дата проведения процедуры продажи</dt><dd class=""date deadline"">18 января 2023 11:00</dd><dl><dt>Минимальная цена лота</dt><dd>4 981 200 руб. 00 коп.</dd><dd class=""more"">(всего лотов — 2)</dd></dl></dl>"
"Продажа ООО ""Фирма КАРГО"" (100% доля в уставном капитале)",Москва,auction/10343-prodazha-ooo-firma-kargo-100-dolja-v-ustavnom-kapitale/,"<dl><dt class=""date deadline"">Дата окончания приема заявок</dt><dd class=""date deadline"">23 января 2023 18:00</dd><dt class=""date deadline"">Дата проведения процедуры продажи</dt><dd class=""date deadline"">25 января 2023 12:00</dd><dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>112 500 000 руб. 00 коп.				
				
		
	</dd></dl></dl>"
"Продажа имущественного комплекса по производству электрической и тепловой энергии, расположенного по адресу: Московская область, г. Электрогорск, ГРЭС-3 
им. Р.Э. Классона",Московская область,auction/10340-prodazha-imushchestvennogo-kompleksa-po-proizvodstvu-ehlektricheskoi-i-teplovoi-ehnergii-raspolozhenn/,"<dl><dt class=""date deadline"">Дата окончания приема заявок</dt><dd class=""date deadline"">23 января 2023 18:00</dd><dt class=""date deadline"">Дата проведения процедуры продажи</dt><dd class=""date deadline"">27 января 2023 12:00</dd><dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>390 000 000 руб. 00 коп.				
				
		
	</dd></dl></dl>"
"Продажа комплекса имущества (объекты движимого и недвижимого имущества в количестве 26 позиций), расположенного по адресу: Московская область, Ленинский муниципальный район, сельское поселение Развилковское с. Беседы, проезд Береговой, вл. 5.",Московская область,auction/10338-prodazha-kompleksa-imushchestva-obekty-dvizhimogo-i-nedvizhimogo-imushchestva-v-kolichestve-26-pozicii/,"<dl><dt class=""date deadline"">Дата окончания приема заявок</dt><dd class=""date deadline"">23 января 2023 18:00</dd><dt class=""date deadline"">Дата проведения процедуры продажи</dt><dd class=""date deadline"">25 января 2023 12:00</dd><dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>107 030 000 руб. 00 коп.				
				
		
	</dd></dl></dl>"
"Продажа нежилого здания, расположенного по адресу: Москва, ул. Бакунинская, д. 52, стр. 1 и неотделимых улучшений",Москва,auction/10315-prodazha-nezhilogo-zdanija-raspolozhennogo-po-adresu-moskva-ul-bakuninskaja-d-52-str-1-i-ne/,"<dl><dt class=""date deadline"">Дата окончания приема заявок</dt><dd class=""date deadline"">23 января 2023 18:00</dd><dt class=""date deadline"">Дата проведения процедуры продажи</dt><dd class=""date deadline"">25 января 2023 18:00</dd><dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>211 948 333 руб. 33 коп.				
				
		
	</dd></dl></dl>"
Продажа объектов движимого и недвижимого имущества в Орловской области,Орловская область,auction/10302-prodazha-obektov-dvizhimogo-i-nedvizhimogo-imushchestva-v-orlovskoi-oblasti/,"<dl><dt class=""date deadline"">Дата окончания приема заявок</dt><dd class=""date deadline"">23 января 2023 18:00</dd><dt class=""date deadline"">Дата проведения процедуры продажи</dt><dd class=""date deadline"">25 января 2023 12:00</dd><dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>134 615 845 руб. 69 коп.				
				
		
	</dd></dl></dl>"
"Продажа 3 (трех) объектов недвижимости -  квартир одним лотом, находящихся в жилом доме, по адресу: г. Санкт-Петербург, Камская улица, д. 4",Санкт-Петербург,auction/10342-prodazha-3-trekh-obektov-nedvizhimosti-kvartir-odnim-lotom-nakhodjashchikhsja-v-zhilom-dome-po-ad/,"<dl><dt class=""date deadline"">Дата окончания приема заявок</dt><dd class=""date deadline"">25 января 2023 18:00</dd><dt class=""date deadline"">Дата проведения процедуры продажи</dt><dd class=""date deadline"">27 января 2023 12:00</dd><dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>34 141 950 руб. 00 коп.				
				
		
	</dd></dl></dl>"
"Продажа квартиры, расположенной по адресу: г. Санкт-Петербург, ул. Стремянная, д. 15/1, лит. А, кв. 10",Санкт-Петербург,auction/10347-prodazha-kvartiry-raspolozhennoi-po-adresu-g-sankt-peterburg-ul-stremjannaja-d-151-lit-a/,"<dl><dt class=""date deadline"">Дата окончания приема заявок</dt><dd class=""date deadline"">01 февраля 2023 18:00</dd><dt class=""date deadline"">Дата проведения процедуры продажи</dt><dd class=""date deadline"">03 февраля 2023 11:00</dd><dl><!-- single lot --><dt>Цена конкурентной процедуры продажи</dt><dd>37 491 900 руб. 00 коп.				
				
		
	</dd></dl></dl>"
"Анонсирование продажи имущественного комплекса по производству электрической и тепловой энергии, расположенного по адресу: Московская область, г. Электрогорск, ГРЭС-3 
им. Р.Э. Классона",Московская область,auction/10339-anonsirovanie-prodazhi-imushchestvennogo-kompleksa-po-proizvodstvu-ehlektricheskoi-i-teplovoi-ehnergi/,
